course_code,sdg_number,sdg_name,addressed,justification,timestamp
DIET2004,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: production, innovation",2024-11-25 15:31:45.554582
DIET2004,7,Affordable and Clean Energy,Focus,"Keywords detected: sustainab, sustainab",2024-11-25 15:31:45.554582
DIET2004,11,Sustainable Cities and Communities,Focus,"Keywords detected: sustainab, sustainab",2024-11-25 15:31:45.554582
DIET2004,13,Climate Action,Focus,"Keywords detected: sustainab, sustainab",2024-11-25 15:31:45.554582
DIET2004,10,Reduced Inequalities,Supported,"Keywords detected: equity, equity",2024-11-25 15:31:45.554582
DIET2004,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: equity, security, equity, security",2024-11-25 15:31:45.554582
DIET2004,3,Good Health and Well-being,Supported,Keywords detected: population health,2024-11-25 15:31:45.554582
LAWS2326,8,Decent Work and Economic Growth,Supported,Keywords detected: justice,2024-11-25 15:31:45.922960
LAWS2326,10,Reduced Inequalities,Supported,"Keywords detected: just, cult",2024-11-25 15:31:45.922960
LAWS2326,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 15:31:45.922960
ARTS3783,7,Affordable and Clean Energy,Supported,"Keywords detected: power, power",2024-11-25 15:31:46.575990
DART3320,10,Reduced Inequalities,Focus,"Keywords detected: culture, cult, culture, cult",2024-11-25 15:31:47.764024
DART3320,13,Climate Action,Focus,Keywords detected: gender,2024-11-25 15:31:47.764024
DART3320,4,Quality Education,Supported,"Keywords detected: cultur, cultur",2024-11-25 15:31:47.764024
DART3320,5,Gender Equality,Supported,"Keywords detected: gender, sex",2024-11-25 15:31:47.764024
DART3320,11,Sustainable Cities and Communities,Supported,Keywords detected: sex,2024-11-25 15:31:47.764024
LAWS3211,9,Industry Innovation and Infrastructure,Supported,Keywords detected: production,2024-11-25 15:31:48.091299
GMAT2700,9,Industry Innovation and Infrastructure,Supported,Keywords detected: technolog,2024-11-25 15:31:48.599702
EXPT3152,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 15:31:49.226903
EXPT3152,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 15:31:49.226903
